Swedish,English
jag,I
det,the
är,is
du,you
att,to
inte,not
en,a
och,and
har,have
vi,we
på,on
i,in
för,for
han,he
med,with
som,as
om,If
var,where
vad,What
mig,me
här,here
dig,you
så,so
den,the
kan,can
till,to
de,the
men,but
ett,a
ska,will
ni,you
av,of
hon,she
vill,want
ja,yes
vet,know
nu,Now
nej,No
bara,only
hur,how
min,my
kommer,is coming
där,where
måste,must
honom,him
gör,do
din,your
skulle,would
när,when
då,when
kom,come on
ha,have
bra,Good
får,may
man,MAN
vara,be
oss,us
ut,out
ta,take
er,you
göra,do
okej,okay
eller,or
hade,had
från,from
varför,why
dem,them
alla,all
tror,think
sig,one
allt,all
henne,her
upp,up
sa,said
ingen,No
tack,thanks
gå,go
in,in
igen,again
få,get
nåt,something
se,see
går,goes
mycket,very
hej,Hello
vem,who
kanske,perhaps
lite,a little
behöver,need
ser,see
mitt,my
aldrig,Never
finns,exists
än,than
inget,nothing
efter,after
blir,becomes
ju,right
hans,his
sen,late
bli,be
gjorde,did
två,two
nån,somebody
tillbaka,back
tar,takes
mer,more
något,something
över,over
säger,says
fick,got
ditt,yours
ge,give
väl,well
också,also
mina,mine
åt,at
nog,enough
kunde,could
år,year
säga,say
någon,any
mamma,mother
varit,been
ner,down
ville,wanted
vänta,wait
mot,against
pappa,dad
andra,Other
borde,should
känner,feel
rätt,Right
vid,at
några,some
hela,whole
såg,SAW
hit,here
prata,talk
komma,come
låt,song
detta,this
gjort,done
blev,became
själv,self
tog,took
alltid,always
vår,our
utan,without
fel,wrong
hem,Home
dag,day
dina,yours
liv,life
menar,means
verkligen,really
visst,Certainly
va,huh
förstår,understand
sin,its
tid,time
trodde,thought
gick,went
älskar,love
sätt,way
berätta,tell
tänker,thinking
döda,kill
veta,Know
tre,three
många,many
folk,people
sluta,stop
precis,just
inga,no
hennes,her
titta,look
innan,before
visste,knew
gillar,like
barn,children
bättre,better
hjälpa,help
under,during
förlåt,Sorry
gång,time
bort,away
hjälp,Help
händer,hands
just,just
helt,completely
säg,say
tycker,think
första,first
död,death
håll,hold
länge,long
hör,hear
sett,seen
ledsen,sorry
snälla,please
saker,things
hitta,find
fortfarande,still
står,stands
pengar,money
god,good
samma,same
sir,Sir
ens,even
ursäkta,excuse
heter,called
håller,holding
vilken,which
enda,only
gud,God
våra,ours
hand,hand
borta,away
mår,feel
hallå,Hello
hände,happened
ur,from
problem,problem
vän,Friend
ger,gives
stanna,stay
sak,Thing
dom,judgment
försöker,trying
låter,sounds
far,Father
kvar,left
väg,way
annan,Other
redan,already
längre,longer
helvete,hell
pratar,talking
väldigt,very
åh,Oh
herregud,my god
vart,where
dit,there
kväll,Evening
morgon,morning
fått,got
snart,soon
ute,out
fråga,question
sitt,his
tiden,the time
kör,drive
deras,their
tänkte,thought
namn,name
verkar,seems
tro,believe
jo,yes
varje,each
fram,forward
bästa,top
fru,wife
först,first
träffa,meet
säkert,for sure
slut,final
sedan,then
hos,in
ingenting,nothing
därför,therefore
åka,go
visa,show
säker,sure
lämna,leave
börjar,begins
vägen,the road
genom,By
gav,gave
härifrån,from here
jobb,Job
hålla,keep
son,son
stor,great
vänner,friends
hittade,found
annat,Other
hoppas,hope
sina,theirs
hörde,heard
vilket,which
kolla,check
minns,remember
ihop,Together
rädd,afraid
sista,last
även,also
era,era
sex,six
vårt,ours
kunna,be able to
ses,seen
del,part
nästa,next
fem,five
livet,life
nya,new
människor,people
bilen,the car
dö,die
riktigt,really
klarar,able to
höra,hear
tills,until
liten,small
betyder,means
tänk,think
tag,grab
lyssna,listen
polisen,the police
ändå,still
sagt,said
hemma,home
sant,true
världen,the world
fast,fixed
faktiskt,actually
ligger,lies
skit,crap
idag,today
minuter,minutes
familj,family
runt,around
blivit,become
klart,clear
fall,CASE
väntar,waiting
dog,died
fyra,four
dra,drag
dollar,dollar
åker,goes
kul,fun
tala,speak
illa,badly
män,men
försökte,tried
dödade,killed
helst,preferably
annars,otherwise
haft,had
sånt,that sort of thing
nästan,almost
ensam,alone
inne,inside
lika,equal
lägg,put
hittar,finds
redo,ready
hämta,fetch
jobbar,works
dr,Dr
gången,the time
båda,both
ny,new
denna,this one
stora,large
plats,place
tur,tour
börja,start
svårt,difficult
lugnt,calmly
långt,far
spelar,plays
kvinna,woman
känns,feels
älskling,honey
hänt,happened
bil,car
emot,against
låta,let
tillsammans,Together
öppna,Open
släpp,release
hört,heard
huset,the house
senare,later
bror,Brother
ringer,calling
lilla,small
be,ask
rör,pipe
ibland,sometimes
rädda,save
heller,either
fort,fast
glad,Happy
gått,gone
mellan,between
nära,near
ifrån,from
hus,House
vore,were
igenom,through
fler,more
kände,felt
vilka,which
dotter,daughter
bryr,care
dagar,days
kille,Guy
tänka,think
bor,lives
fattar,understand
gärna,gladly
fanns,existed
ber,begging
började,began
killen,the guy
sitter,sitting
slå,beat
ännu,yet
tio,ten
trevligt,nice
vilja,will
gott,good
spela,play
bäst,best
chans,chance
gånger,times
varandra,each other
timmar,hours
lever,liver
pengarna,the money
äta,eat
handlar,trades
natt,night
rum,room
klara,clear
mor,mother
gamla,old
ord,words
ihåg,remember
reda,ready
ringa,call
mannen,the man
ert,your
dags,time of day
bakom,behind
eftersom,since
gammal,old
jobbet,the job
dörren,the door
fara,danger
känna,feel
dessa,these
all,all
dör,dies
sån,like that
par,couple
bad,bath
hjälper,helps
alls,at all
tyst,quiet
egen,own
kommit,arrived
ringde,called
dagen,the day
klar,clear
galen,crazy
stan,town
leva,live
syster,Sister
oroa,worry
mat,food
vapen,weapon
ring,ring
skulle,sake
idé,idea
stället,the place
antar,assume
tagit,taken
vadå,what
sätta,put
stå,stand
berättade,told
ganska,quite
följer,follows
klockan,the clock
tidigare,previous
hittat,found
följa,follow
